date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,09:00,Customer / Account Review,No,customer,Customer;Sales Rep,yes,confirmed
2026-01-07,08:00,08:30,Pipeline Review,No,pipeline,Account Team;West Sales Director;Enablement Lead,yes,confirmed
2026-01-07,08:30,09:00,Pipeline Review,No,pipeline,Sales Ops;Account Team;Regional VP,no,confirmed
2026-01-07,09:30,10:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,08:00,09:00,Pipeline Review,No,pipeline,Enablement Lead,yes,confirmed
2026-01-09,09:00,09:30,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-12,08:00,08:30,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-12,08:45,09:15,Team Coaching,No,team,Enablement Lead;Sales Rep;East Sales Director,yes,confirmed
2026-01-14,08:00,08:45,Learning Block,No,learning,,yes,confirmed
2026-01-14,08:55,09:25,Pipeline Review,No,pipeline,Regional VP,yes,confirmed
2026-01-16,08:00,09:00,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-16,09:00,09:45,Forecast Review,No,forecast,Sales Rep,yes,confirmed
2026-01-19,08:00,08:30,Forecast Review,No,forecast,Regional VP;Sales Ops;Revenue Ops,yes,confirmed
2026-01-21,08:00,09:00,Pipeline Review,No,pipeline,West Sales Director;Enablement Lead,yes,confirmed
2026-01-21,09:30,10:00,Leadership Sync,No,leadership,Finance;Marketing VP,yes,declined
2026-01-26,08:00,09:00,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-28,08:00,09:00,Leadership Sync,No,leadership,Finance;Product VP,yes,confirmed
2026-01-28,09:15,10:00,Internal Working Session,No,internal,Marketing VP,yes,confirmed
2026-01-30,08:00,09:00,Team Coaching,No,team,Sales Ops;Regional VP;Account Team,yes,confirmed
